 sgsn_mcc_mnc | number_of_subscribers |    date    |        hour         | volume_in_MB | volume_out_MB | total_volume_MB 
--------------+-----------------------+------------+---------------------+--------------+---------------+-----------------
 44011        |                     1 | 2019-11-21 | 2019-11-21 10:00:00 |         0.01 |          0.01 |            0.03
 44011        |                     1 | 2019-11-21 | 2019-11-21 11:00:00 |         0.02 |          0.02 |            0.05
 44011        |                     1 | 2019-11-21 | 2019-11-21 12:00:00 |         0.02 |          0.02 |            0.04
 44011        |                     1 | 2019-11-21 | 2019-11-21 13:00:00 |         0.01 |          0.01 |            0.02
 44011        |                     1 | 2019-11-21 | 2019-11-21 14:00:00 |         0.02 |          0.02 |            0.04
 44011        |                     1 | 2019-11-21 | 2019-11-21 15:00:00 |         0.03 |          0.05 |            0.09
 44011        |                     2 | 2019-11-21 | 2019-11-21 16:00:00 |         0.68 |          0.36 |            1.04
 44011        |                     1 | 2019-11-21 | 2019-11-21 17:00:00 |         0.02 |          0.02 |            0.04
 44011        |                     2 | 2019-11-21 | 2019-11-21 18:00:00 |         0.20 |          0.12 |            0.32
(9 rows)

